id,nr_employees,nr_closed_cubicles,nr_meeting_room_total_occupancy,industry,city,sqm_social_zones,sqm_net_area
67,44,9,11,tech,Oslo,86,672
68,85,21,19,tech,Oslo,110,1037.5
69,38,9,10,tech,Oslo,75,570
70,85,20,24,tech,Oslo,154,1431.9
71,63,14,17,tech,Oslo,113,789.6
72,83,17,19,tech,Oslo,142,1332.8
73,120,24,34,tech,Oslo,246,2047
74,95,26,24,tech,Oslo,133,1334
75,50,11,14,tech,Oslo,86,697.5
76,57,15,17,tech,Oslo,120,925.6
77,71,15,19,tech,Oslo,149,1239
78,52,12,14,tech,Oslo,97,780
79,73,20,19,tech,Oslo,119,940.8
80,84,23,25,tech,Oslo,216,1531.2
81,57,16,17,tech,Oslo,121,837
82,67,18,14,tech,Oslo,131,1049.4
83,78,21,23,tech,Oslo,168,1342
84,64,18,14,tech,Oslo,109,835.2
85,101,28,26,tech,Oslo,274,1860
86,81,18,18,tech,Oslo,131,1088.1
87,36,8,9,tech,Oslo,72,572.4
88,104,23,28,tech,Oslo,187,1612
89,105,25,30,tech,Oslo,179,1488
90,59,18,12,tech,Oslo,113,898.9
91,42,12,9,tech,Oslo,60,554.4
92,49,10,11,tech,Oslo,63,567
93,68,19,17,tech,Oslo,131,1060.8
94,112,33,25,tech,Oslo,179,1751
95,82,19,19,tech,Oslo,139,1224
96,100,27,22,tech,Oslo,157,1430.4
97,43,12,9,tech,Oslo,62,550.4
98,101,28,29,tech,Oslo,138,1295.6
99,75,19,22,tech,Oslo,159,1357.2
100,83,23,23,tech,Oslo,157,1122.3
101,114,29,23,tech,Oslo,253,1743
102,112,31,34,tech,Oslo,239,2124
103,35,8,9,tech,Oslo,64,436.8
104,97,29,26,tech,Oslo,161,1444
105,120,32,33,tech,Oslo,263,2127.5
106,39,11,10,tech,Oslo,88,714
107,47,12,10,tech,Oslo,85,772.8
108,79,19,22,tech,Oslo,136,960
109,42,10,9,tech,Oslo,88,646.6
110,48,11,14,tech,Oslo,71,627.8
111,42,9,12,tech,Oslo,105,749.7
112,112,31,33,tech,Oslo,212,1425.6
113,74,16,20,tech,Oslo,147,1100
114,36,10,8,tech,Oslo,78,626.4
115,100,26,30,tech,Oslo,177,1684.8
116,110,23,26,tech,Oslo,155,1351.5
117,110,23,32,tech,Oslo,270,1963.5
118,53,15,13,tech,Oslo,123,955.8
119,108,25,30,tech,Oslo,260,1890.8
120,37,11,8,tech,Oslo,76,604.8
121,72,15,19,tech,Oslo,156,1208.4
122,75,17,18,tech,Oslo,149,1067
123,32,9,8,tech,Oslo,76,558.6
124,82,23,20,tech,Oslo,162,1237.5
125,102,29,22,tech,Oslo,246,1744.2
126,118,27,27,tech,Oslo,165,1651.2
127,114,32,31,tech,Oslo,239,1858.5
128,87,22,18,tech,Oslo,121,1206.5
129,68,20,15,tech,Oslo,145,1194.8
130,76,19,22,tech,Oslo,135,1228.5
131,44,10,12,tech,Oslo,83,660
132,81,24,18,tech,Oslo,165,1463.7
133,103,30,23,tech,Oslo,238,1669.2
134,53,13,15,tech,Oslo,76,680.4
135,36,10,10,tech,Oslo,80,565.6
136,33,9,9,tech,Oslo,62,571.2
137,101,27,25,tech,Oslo,135,1224
138,113,28,29,tech,Oslo,234,1751
139,101,21,24,tech,Oslo,173,1357.8
140,83,17,21,tech,Oslo,149,1016.4
141,50,13,11,tech,Oslo,87,710.4
142,102,21,30,tech,Oslo,229,1667.7
143,70,17,17,tech,Oslo,134,1175.2
144,31,7,6,tech,Oslo,75,514.8
145,83,17,21,tech,Oslo,214,1427.8
146,116,32,30,tech,Oslo,267,2011.4
147,101,29,20,tech,Oslo,221,1800
148,37,8,11,tech,Oslo,59,588
149,84,24,21,tech,Oslo,136,1148.1
150,66,13,19,tech,Oslo,141,950.6
151,46,12,12,tech,Oslo,108,770
152,59,14,14,tech,Oslo,80,704.7
153,99,25,21,tech,Oslo,164,1493.5
154,36,11,9,tech,Oslo,54,537.6
155,48,12,11,tech,Oslo,106,781
156,69,14,19,tech,Oslo,129,989.4
157,78,22,20,tech,Oslo,212,1440
158,36,8,11,tech,Oslo,65,517
159,96,20,26,tech,Oslo,247,1704
160,69,15,21,tech,Oslo,118,1071
161,83,19,21,tech,Oslo,159,1143.9
162,106,30,28,tech,Oslo,262,1869.6
163,38,9,10,tech,Oslo,80,552.9
164,108,28,25,tech,Oslo,206,1384.6
165,61,14,17,tech,Oslo,76,736
166,65,17,19,tech,Oslo,132,999.9
167,65,19,19,tech,Oslo,136,968.2
168,114,28,29,tech,Oslo,272,1812.6
169,110,26,25,tech,Oslo,257,1867.6
170,107,29,22,tech,Oslo,155,1532.6
171,87,20,19,tech,Oslo,143,1398.6
172,109,24,30,tech,Oslo,246,1890.8
173,58,13,16,tech,Oslo,86,713.4
174,106,29,22,tech,Oslo,180,1428.7
175,55,11,16,tech,Oslo,95,713.4
176,48,13,11,tech,Oslo,99,756
177,55,12,15,tech,Oslo,88,680.6
178,52,13,11,tech,Oslo,78,767.6
179,40,9,12,tech,Oslo,73,701.5
180,41,10,10,tech,Oslo,67,561.2
181,79,19,21,tech,Oslo,211,1404.2
182,74,20,18,tech,Oslo,121,985.6
183,95,25,27,tech,Oslo,221,1470
184,102,22,29,tech,Oslo,262,1805.4
185,73,20,19,tech,Oslo,123,1187.2
186,72,18,15,tech,Oslo,139,1239
187,91,25,27,tech,Oslo,169,1587.3
188,117,31,30,tech,Oslo,151,1495.2
189,35,9,10,tech,Oslo,63,626.4
190,99,30,20,tech,Oslo,253,1698.6
191,81,21,18,tech,Oslo,157,1140
192,77,16,23,tech,Oslo,134,1194.8
193,48,12,12,tech,Oslo,84,828
194,40,11,10,tech,Oslo,62,555.1
195,81,17,18,tech,Oslo,115,928
196,40,9,9,tech,Oslo,55,475.6
197,85,21,19,tech,Oslo,125,1162.5
198,68,15,15,tech,Oslo,101,862.4
199,44,9,12,tech,Oslo,69,578.5
200,44,9,13,tech,Oslo,85,719.4
201,78,18,19,tech,Oslo,155,1081
202,40,9,10,tech,Oslo,65,477.9
203,103,22,25,tech,Oslo,158,1575
204,52,14,14,tech,Oslo,103,936
205,31,9,9,tech,Oslo,51,436.1
206,120,30,35,tech,Oslo,241,2072
207,105,21,23,tech,Oslo,203,1355.9
208,59,13,13,tech,Oslo,87,680
209,91,22,27,tech,Oslo,196,1554
210,78,21,19,tech,Oslo,166,1416
211,41,9,8,tech,Oslo,59,475.6
212,58,16,12,tech,Oslo,110,868.6
213,62,18,17,tech,Oslo,93,814.8
214,50,12,15,tech,Oslo,113,916.3
215,43,10,9,tech,Oslo,86,694.4
216,114,27,27,tech,Oslo,174,1495.2
217,61,14,15,tech,Oslo,102,963
218,102,22,28,tech,Oslo,185,1626.4
219,85,26,18,tech,Oslo,149,1161
220,37,8,11,tech,Oslo,63,515.2
221,51,11,10,tech,Oslo,89,770.4
222,52,12,14,tech,Oslo,92,920.4
223,68,14,18,tech,Oslo,136,920
224,54,14,12,tech,Oslo,112,888
225,54,15,15,tech,Oslo,99,764.4
226,48,14,11,tech,Oslo,94,730
227,88,21,18,tech,Oslo,137,1155.7
228,34,8,8,tech,Oslo,57,425
229,100,23,28,tech,Oslo,189,1555.3
230,88,25,18,tech,Oslo,211,1427.9
231,118,35,26,tech,Oslo,221,2130.1
232,84,23,17,tech,Oslo,152,1041.6
233,96,23,28,tech,Oslo,235,1675.8
234,101,29,30,tech,Oslo,206,1632
235,112,33,24,tech,Oslo,251,1808.3
236,95,25,26,tech,Oslo,211,1547.6
237,52,14,12,tech,Oslo,111,741
238,80,23,19,tech,Oslo,139,1134.6
239,64,19,19,tech,Oslo,112,1020
240,99,23,29,tech,Oslo,159,1223.1
241,107,32,28,tech,Oslo,209,1670
242,32,10,9,tech,Oslo,91,606.9
243,76,18,17,tech,Oslo,156,1054.5
244,36,9,8,tech,Oslo,68,614.8
245,81,21,21,tech,Oslo,148,1205.4
246,72,21,18,tech,Oslo,128,1043.4
247,84,17,23,tech,Oslo,117,1116
248,57,16,16,tech,Oslo,104,792.1
249,46,11,13,tech,Oslo,82,595
250,47,11,10,tech,Oslo,102,809.2
251,82,23,18,tech,Oslo,194,1303.8
252,74,20,19,tech,Oslo,119,1118.7
253,95,27,24,tech,Oslo,233,1664.4
254,64,19,17,tech,Oslo,134,1140
255,87,21,18,tech,Oslo,153,1474.2
256,39,11,10,tech,Oslo,84,648
257,112,29,31,tech,Oslo,193,1754.4
258,107,26,30,tech,Oslo,207,1548.5
259,109,31,23,tech,Oslo,267,1776.7
260,82,22,23,tech,Oslo,208,1511.3
261,47,13,10,tech,Oslo,86,595
262,71,18,18,tech,Oslo,141,1177
263,62,18,14,tech,Oslo,100,836.6
264,61,17,14,tech,Oslo,99,828
265,73,20,18,tech,Oslo,119,943.5
266,48,14,14,tech,Oslo,80,744.8
267,55,13,14,tech,Oslo,123,910.2
268,94,24,21,tech,Oslo,161,1515.1
269,105,26,29,tech,Oslo,260,1824
270,68,18,14,tech,Oslo,135,1030
271,64,18,15,tech,Oslo,103,834.2
272,81,19,21,tech,Oslo,165,1258.4
273,90,23,19,tech,Oslo,174,1254
274,49,11,13,tech,Oslo,82,700.8
275,43,11,11,tech,Oslo,63,630.5
276,41,8,9,tech,Oslo,60,562.6
277,87,22,18,tech,Oslo,148,1397
278,49,10,10,tech,Oslo,81,600.3
279,46,10,10,tech,Oslo,82,633.6
280,110,28,26,tech,Oslo,148,1377.6
281,58,13,16,tech,Oslo,113,783
282,68,20,18,tech,Oslo,140,1123.6
283,108,31,26,tech,Oslo,182,1567.5
284,108,23,26,tech,Oslo,208,1538.6
285,88,18,23,tech,Oslo,171,1290
286,95,24,21,tech,Oslo,165,1344
287,37,8,9,tech,Oslo,66,615.6
288,101,21,25,tech,Oslo,169,1205.4
289,56,16,16,tech,Oslo,133,906.4
290,67,17,17,tech,Oslo,117,919.1
291,54,14,14,tech,Oslo,88,729.8
292,37,11,11,tech,Oslo,81,542.8
293,82,18,18,tech,Oslo,118,979.4
294,83,20,23,tech,Oslo,123,1197
295,77,16,20,tech,Oslo,176,1186.5
296,39,12,11,tech,Oslo,68,582.8
297,60,15,14,tech,Oslo,87,765.4
298,104,30,21,tech,Oslo,210,1596.5
299,86,25,23,tech,Oslo,154,1500.8
300,61,18,13,tech,Oslo,111,1067.2
301,47,14,10,tech,Oslo,95,674.5
302,69,15,19,tech,Oslo,148,1030
303,96,25,23,tech,Oslo,165,1569.6
304,110,25,26,tech,Oslo,163,1593.9
305,112,30,25,tech,Oslo,209,1920.5
306,79,18,22,tech,Oslo,154,1356.6
307,52,13,15,tech,Oslo,96,952
308,115,31,29,tech,Oslo,272,1960
309,66,16,20,tech,Oslo,137,958.8
310,31,6,7,tech,Oslo,50,435.6
311,115,33,31,tech,Oslo,258,1969
312,75,18,19,tech,Oslo,133,1041.6
313,48,14,14,tech,Oslo,88,608
314,103,27,24,tech,Oslo,166,1386
315,50,10,10,tech,Oslo,91,609
316,71,15,18,tech,Oslo,129,936
317,79,20,23,tech,Oslo,158,1439.6
318,120,24,28,tech,Oslo,276,2046.8
319,86,22,23,tech,Oslo,160,1283.8
320,30,8,6,tech,Oslo,71,492.8
321,107,26,26,tech,Oslo,154,1431
322,100,21,29,tech,Oslo,180,1710
323,79,22,22,tech,Oslo,126,1156.2
324,35,8,9,tech,Oslo,68,540.8
325,77,20,17,tech,Oslo,152,1333.8
326,77,21,20,tech,Oslo,164,1203.6
327,63,16,17,tech,Oslo,119,1123.2
328,96,29,27,tech,Oslo,183,1307.2
329,42,9,11,tech,Oslo,59,533.2
330,35,7,9,tech,Oslo,64,428.4
331,92,21,18,tech,Oslo,124,1074.2
332,42,11,9,tech,Oslo,90,682
333,77,22,18,tech,Oslo,143,1310.4
334,108,24,22,tech,Oslo,207,1463
335,66,14,17,tech,Oslo,100,795.4
336,84,18,18,tech,Oslo,167,1212
337,82,23,21,tech,Oslo,129,1071
338,85,23,20,tech,Oslo,166,1126.4
339,89,23,19,tech,Oslo,157,1061.1
340,70,20,19,tech,Oslo,126,1209.9
341,87,19,18,tech,Oslo,175,1401.2
342,77,18,21,tech,Oslo,138,1032.4
343,115,33,27,tech,Oslo,211,1505
344,78,20,16,tech,Oslo,141,1185.6
345,60,13,15,tech,Oslo,94,818.4
346,55,15,13,tech,Oslo,106,713.8
347,96,25,22,tech,Oslo,189,1315.6
348,101,27,21,tech,Oslo,186,1296.3
349,79,20,22,tech,Oslo,123,1185.8
350,94,27,20,tech,Oslo,201,1410
351,98,28,24,tech,Oslo,195,1335
352,38,11,11,tech,Oslo,57,570
353,102,22,26,tech,Oslo,198,1725
354,75,17,21,tech,Oslo,188,1254.3
355,80,24,22,tech,Oslo,148,1423.8
356,107,28,29,tech,Oslo,163,1607.2
357,47,12,12,tech,Oslo,90,646.1
358,55,12,16,tech,Oslo,98,904.7
359,94,20,21,tech,Oslo,174,1377
360,44,9,13,tech,Oslo,92,739.2
361,33,8,7,tech,Oslo,53,417.6
362,95,25,21,tech,Oslo,151,1269
363,64,16,17,tech,Oslo,139,1076.7
364,108,31,23,tech,Oslo,164,1328.4
365,120,33,33,tech,Oslo,216,2157.6
366,47,13,10,tech,Oslo,89,819
367,48,14,10,tech,Oslo,71,576
368,55,15,16,tech,Oslo,83,782.6
369,70,20,15,tech,Oslo,135,1029
370,61,13,18,tech,Oslo,139,1021.2
371,68,15,20,tech,Oslo,122,1081.5
372,115,26,24,tech,Oslo,200,1369.5
373,112,25,33,tech,Oslo,227,2040
374,58,12,13,tech,Oslo,97,672.3
375,90,19,24,tech,Oslo,147,1383.2
376,116,28,23,tech,Oslo,241,1853.7
377,64,18,17,tech,Oslo,158,1069.2
378,101,25,21,tech,Oslo,158,1293.6
379,113,32,27,tech,Oslo,182,1634
380,88,21,18,tech,Oslo,152,1066.8
381,99,22,27,tech,Oslo,186,1420.8
382,38,9,10,tech,Oslo,83,661.2
383,85,19,20,tech,Oslo,128,1252.4
384,40,9,10,tech,Oslo,66,584.1
385,94,21,21,tech,Oslo,157,1441.6
386,60,15,18,tech,Oslo,151,1106.7
387,35,8,10,tech,Oslo,59,461.1
388,101,27,30,tech,Oslo,194,1706.4
389,63,18,15,tech,Oslo,95,873.6
390,58,17,17,tech,Oslo,138,984.4
391,105,22,23,tech,Oslo,158,1440
392,70,20,17,tech,Oslo,137,1262.6
393,103,24,27,tech,Oslo,198,1601.6
394,58,17,15,tech,Oslo,102,999
395,120,28,29,tech,Oslo,242,2017.8
396,91,24,26,tech,Oslo,133,1240.8
397,60,16,16,tech,Oslo,121,966
398,43,13,12,tech,Oslo,101,788.8
399,106,25,23,tech,Oslo,178,1309
400,57,13,12,tech,Oslo,110,852.8
401,114,34,27,tech,Oslo,221,2082.5
402,92,20,23,tech,Oslo,175,1323
403,95,26,20,tech,Oslo,191,1466.4
404,62,13,15,tech,Oslo,96,873
405,96,25,24,tech,Oslo,161,1276
406,32,9,8,tech,Oslo,55,431.2
407,85,23,25,tech,Oslo,191,1556.1
408,76,21,16,tech,Oslo,138,994.4
409,77,22,17,tech,Oslo,148,1334
410,111,26,23,tech,Oslo,167,1648
411,50,11,11,tech,Oslo,75,604.8
412,66,17,13,tech,Oslo,88,787.2
413,120,27,27,tech,Oslo,207,1722.6
414,45,11,13,tech,Oslo,79,717.6
415,37,9,10,tech,Oslo,62,554.4
416,44,13,13,tech,Oslo,111,805
417,84,20,19,tech,Oslo,138,1266.9
418,102,20,24,tech,Oslo,186,1752
419,87,20,18,tech,Oslo,208,1412.5
420,72,18,22,tech,Oslo,128,1075.2
421,85,18,24,tech,Oslo,133,1333.5
422,97,19,29,tech,Oslo,201,1595
423,47,11,12,tech,Oslo,110,798
424,43,11,10,tech,Oslo,58,576
425,54,16,16,tech,Oslo,74,722.4
426,112,29,33,tech,Oslo,210,2053.2
427,103,25,30,tech,Oslo,263,1864.4
428,77,17,19,tech,Oslo,184,1299.5
429,87,21,25,tech,Oslo,198,1356.6
430,115,30,27,tech,Oslo,207,1823.2
431,55,13,17,tech,Oslo,139,1011.5
432,59,13,15,tech,Oslo,94,913.5
433,45,9,10,tech,Oslo,87,659.2
434,53,11,12,tech,Oslo,95,684
435,108,24,26,tech,Oslo,256,1706.4
436,86,20,22,tech,Oslo,190,1369.6
437,111,25,31,tech,Oslo,240,1903.8
438,89,18,19,tech,Oslo,102,1008
439,48,10,14,tech,Oslo,107,864
440,50,13,13,tech,Oslo,105,714.4
441,48,13,11,tech,Oslo,126,864
442,90,25,24,tech,Oslo,188,1501.2
443,91,27,26,tech,Oslo,170,1526.4
444,74,21,16,tech,Oslo,137,921.3
445,87,23,22,tech,Oslo,134,1188
446,53,15,13,tech,Oslo,91,810
447,59,12,16,tech,Oslo,78,774.3
448,105,21,26,tech,Oslo,205,1504.8
449,33,7,9,tech,Oslo,56,499.8
450,47,10,14,tech,Oslo,72,710
451,115,34,26,tech,Oslo,171,1540
452,61,16,17,tech,Oslo,125,893
453,105,22,30,tech,Oslo,188,1554.3
454,106,26,30,tech,Oslo,147,1474.2
455,69,17,20,tech,Oslo,169,1229.6
456,113,29,30,tech,Oslo,190,1479.2
457,43,11,10,tech,Oslo,98,723.2
458,39,10,10,tech,Oslo,92,654.9
459,99,21,23,tech,Oslo,194,1587.3
460,98,29,22,tech,Oslo,262,1773.1
461,63,18,18,tech,Oslo,121,999.9
462,108,29,25,tech,Oslo,211,1490.4
463,54,14,16,tech,Oslo,95,705.6
464,111,26,22,tech,Oslo,134,1335.6
465,57,16,12,tech,Oslo,83,756.5
466,79,18,17,tech,Oslo,98,946.2
467,96,20,28,tech,Oslo,251,1728
468,67,15,19,tech,Oslo,104,959.5
469,35,8,9,tech,Oslo,80,618.8
470,43,12,9,tech,Oslo,69,563.2
471,109,24,30,tech,Oslo,182,1385.5
472,39,8,10,tech,Oslo,71,564.3
473,114,28,29,tech,Oslo,266,1898.1
474,99,21,26,tech,Oslo,233,1620.6
475,94,26,24,tech,Oslo,240,1684.8
476,44,10,9,tech,Oslo,67,573.3
477,105,24,27,tech,Oslo,156,1310.4
478,79,23,22,tech,Oslo,169,1450.8
479,63,18,17,tech,Oslo,130,921.2
480,39,9,9,tech,Oslo,75,621.3
481,90,27,19,tech,Oslo,177,1441.6
482,95,28,23,tech,Oslo,140,1401.6
483,45,13,10,tech,Oslo,66,632.4
484,81,21,23,tech,Oslo,150,1350
485,114,30,33,tech,Oslo,222,1504.5
486,93,23,25,tech,Oslo,130,1226.7
487,90,21,20,tech,Oslo,187,1467.2
488,64,16,17,tech,Oslo,146,1008.8
489,33,9,7,tech,Oslo,56,519.4
490,50,13,11,tech,Oslo,109,725.2
491,85,24,25,tech,Oslo,153,1393.6
492,31,8,7,tech,Oslo,67,533.6
493,98,25,24,tech,Oslo,197,1543.5
494,120,28,33,tech,Oslo,216,2009.1
495,42,10,9,tech,Oslo,70,488
496,66,20,15,tech,Oslo,144,1151.4
497,40,10,10,tech,Oslo,62,552
498,39,11,11,tech,Oslo,81,671
499,53,13,13,tech,Oslo,80,742.6
500,25,6,6,tech,Bergen,80,549.08
501,59,14,15,tech,Bergen,129,1182.72
502,35,9,8,tech,Bergen,103,829.92
503,50,13,13,tech,Bergen,155,1159.76
504,27,7,8,tech,Bergen,78,646.8
505,46,9,12,tech,Bergen,112,759.78
506,71,15,14,tech,Bergen,161,1218
507,43,11,10,tech,Bergen,116,797.44
508,48,14,13,tech,Bergen,109,924
509,77,21,17,tech,Bergen,183,1368.5
510,80,21,21,tech,Bergen,305,2049.6
511,28,6,7,tech,Bergen,85,591.22
512,40,11,9,tech,Bergen,82,730.8
513,70,16,19,tech,Bergen,208,1631.7
514,77,23,18,tech,Bergen,239,1767.64
515,67,20,20,tech,Bergen,213,1498
516,80,22,20,tech,Bergen,189,1844.64
517,72,18,19,tech,Bergen,159,1342.88
518,34,10,9,tech,Bergen,111,860.72
519,75,17,22,tech,Bergen,199,1787.52
520,30,8,8,tech,Bergen,78,579.6
521,61,18,13,tech,Bergen,149,1043.28
522,74,19,21,tech,Bergen,194,1292.76
523,26,6,7,tech,Bergen,65,453.18
524,43,9,10,tech,Bergen,119,1015.56
525,32,8,8,tech,Bergen,80,618.24
526,34,10,9,tech,Bergen,91,690.06
527,76,19,22,tech,Bergen,263,1752.66
528,32,10,9,tech,Bergen,90,692.58
529,68,20,14,tech,Bergen,204,1370.88
530,31,7,6,tech,Bergen,70,511.28
531,43,13,10,tech,Bergen,105,905.52
532,73,20,17,tech,Bergen,175,1262.8
533,78,19,19,tech,Bergen,268,1916.32
534,56,15,15,tech,Bergen,112,1083.6
535,78,16,16,tech,Bergen,129,1278.2
536,49,11,13,tech,Bergen,133,1032.22
537,26,7,8,tech,Bergen,87,579.74
538,28,8,7,tech,Bergen,59,553.84
539,70,19,17,tech,Bergen,145,1380.12
540,56,11,14,tech,Bergen,107,1054.62
541,32,7,7,tech,Bergen,77,631.12
542,52,10,11,tech,Bergen,116,940.24
543,56,16,15,tech,Bergen,142,1303.26
544,50,11,13,tech,Bergen,128,1004.92
545,58,17,15,tech,Bergen,180,1222.2
546,51,15,13,tech,Bergen,139,1305.08
547,47,13,13,tech,Bergen,98,899.36
548,54,12,12,tech,Bergen,120,873.6
549,71,18,15,tech,Bergen,127,1193.92
550,42,9,12,tech,Bergen,121,882
551,74,15,19,tech,Bergen,179,1254.96
552,43,10,12,tech,Bergen,76,746.2
553,49,13,11,tech,Bergen,132,1144.64
554,63,14,14,tech,Bergen,127,1184.82
555,55,13,12,tech,Bergen,107,1008
556,65,19,16,tech,Bergen,227,1680
557,32,8,9,tech,Bergen,90,782.04
558,58,12,15,tech,Bergen,156,1094.8
559,57,15,17,tech,Bergen,151,1358.14
560,26,6,6,tech,Bergen,68,462.84
561,26,7,8,tech,Bergen,63,510.86
562,50,14,12,tech,Bergen,159,1138.48
563,26,7,7,tech,Bergen,69,610.4
564,40,10,11,tech,Bergen,132,1007.72
565,49,10,13,tech,Bergen,145,1159.2
566,21,4,6,tech,Bergen,53,425.32
567,24,6,7,tech,Bergen,82,549.08
568,20,5,5,tech,Bergen,67,499.8
569,56,15,16,tech,Bergen,200,1425.06
570,43,11,12,tech,Bergen,149,1007.16
571,67,18,14,tech,Bergen,170,1330.56
572,38,11,11,tech,Bergen,78,672
573,56,12,13,tech,Bergen,156,1326.78
574,45,9,11,tech,Bergen,103,1001
575,29,7,6,tech,Bergen,74,646.8
576,73,20,20,tech,Bergen,140,1344.7
577,21,5,6,tech,Bergen,75,515.2
578,79,20,18,tech,Bergen,162,1375.92
579,37,9,8,tech,Bergen,98,756
580,73,16,17,tech,Bergen,165,1231.72
581,70,18,19,tech,Bergen,178,1393.14
582,51,15,13,tech,Bergen,102,984.34
583,22,6,5,tech,Bergen,54,392.7
584,25,6,7,tech,Bergen,63,590.52
585,38,10,9,tech,Bergen,106,718.2
586,36,9,11,tech,Bergen,87,666.4
587,64,17,18,tech,Bergen,237,1593.9
588,45,12,11,tech,Bergen,104,990.08
589,39,10,10,tech,Bergen,69,660.8
590,69,15,18,tech,Bergen,178,1213.8
591,66,14,13,tech,Bergen,155,1458.24
592,79,21,19,tech,Bergen,221,1649.34
593,58,16,13,tech,Bergen,162,1425.06
594,38,10,11,tech,Bergen,107,784.7
595,68,16,18,tech,Bergen,242,1627.92
596,21,5,6,tech,Bergen,59,537.6
597,54,13,11,tech,Bergen,139,1168.44
598,30,7,8,tech,Bergen,83,623.7
599,62,15,14,tech,Bergen,129,1159.34
600,80,20,21,tech,Bergen,272,1812.58
601,61,18,18,tech,Bergen,122,1099.98
602,71,16,19,tech,Bergen,200,1380.12
603,58,13,12,tech,Bergen,177,1220.1
604,63,15,16,tech,Bergen,188,1276.52
605,27,7,6,tech,Bergen,72,621.6
606,75,15,20,tech,Bergen,168,1524.6
607,47,11,14,tech,Bergen,126,1018.08
608,58,17,13,tech,Bergen,137,1232
609,42,10,12,tech,Bergen,126,860.16
610,25,6,6,tech,Bergen,51,429.94
611,40,8,12,tech,Bergen,97,764.4
612,79,20,19,tech,Bergen,205,1800.68
613,35,9,8,tech,Bergen,110,829.92
614,36,9,8,tech,Bergen,107,882.98
615,63,15,18,tech,Bergen,146,1142.4
616,33,8,8,tech,Bergen,98,816.34
617,46,11,13,tech,Bergen,155,1068.2
618,44,11,9,tech,Bergen,102,958.72
619,58,12,14,tech,Bergen,203,1375.92
620,23,6,5,tech,Bergen,48,380.8
621,53,14,14,tech,Bergen,103,918.54
622,73,16,20,tech,Bergen,150,1464.96
623,35,9,8,tech,Bergen,124,873.6
624,58,17,14,tech,Bergen,145,1071.56
625,41,11,11,tech,Bergen,104,811.44
626,61,16,13,tech,Bergen,133,1247.4
627,69,19,16,tech,Bergen,164,1310.4
628,48,14,10,tech,Bergen,135,1149.12
629,34,9,7,tech,Bergen,67,560
